time,open,high,low,close,volume
2016-10-07,1.2616,1.2626,1.1452,1.2434,0
2016-10-10,1.2435,1.2453,1.2347,1.2363,0
2016-10-11,1.2367,1.2377,1.2091,1.2123,0
2016-10-12,1.2123,1.2328,1.2105,1.2208,0
2016-10-13,1.221,1.2275,1.2134,1.2255,0
2016-10-14,1.2259,1.2263,1.2168,1.2187,0
2016-10-17,1.2188,1.2204,1.2136,1.2184,0
2016-10-18,1.2181,1.2327,1.2174,1.2297,0
2016-10-19,1.2297,1.2334,1.2257,1.2286,0
2016-10-20,1.2285,1.23,1.221,1.2252,0
2016-10-21,1.2254,1.2263,1.2171,1.2235,0
2016-10-24,1.2224,1.2253,1.2186,1.2239,0
2016-10-25,1.2237,1.2245,1.2083,1.2188,0
2016-10-26,1.2189,1.2251,1.2154,1.2248,0
2016-10-27,1.2248,1.2271,1.2148,1.2163,0
2016-10-28,1.2164,1.2217,1.2117,1.2185,0
2016-10-31,1.2179,1.2251,1.2143,1.2244,0
2016-11-01,1.2237,1.2282,1.2206,1.2243,0
2016-11-02,1.2243,1.236,1.2224,1.2303,0
2016-11-03,1.2302,1.2496,1.2295,1.2462,0
2016-11-04,1.2462,1.2559,1.2448,1.2519,0
2016-11-07,1.2513,1.2527,1.2379,1.2398,0
2016-11-08,1.2393,1.2444,1.2362,1.2381,0
2016-11-09,1.2373,1.2549,1.2351,1.2406,0
2016-11-10,1.2405,1.2585,1.2374,1.2555,0
2016-11-11,1.2554,1.2675,1.2524,1.2602,0
2016-11-14,1.2593,1.2614,1.2441,1.2487,0
2016-11-15,1.2489,1.2531,1.2382,1.2456,0
2016-11-16,1.2456,1.2504,1.241,1.2443,0
2016-11-17,1.2443,1.2507,1.2407,1.2416,0
2016-11-18,1.2418,1.2438,1.23,1.2346,0
2016-11-21,1.2348,1.2514,1.2311,1.2493,0
2016-11-22,1.2497,1.2514,1.2383,1.2424,0
2016-11-23,1.2425,1.247,1.2359,1.244,0
2016-11-24,1.2442,1.2499,1.2402,1.2452,0
2016-11-25,1.245,1.2491,1.2415,1.2476,0
2016-11-28,1.247,1.2533,1.2385,1.2415,0
2016-11-29,1.2414,1.2527,1.2386,1.249,0
2016-11-30,1.249,1.2524,1.2416,1.2505,0
2016-12-01,1.2506,1.2697,1.25,1.2593,0
2016-12-02,1.2599,1.2747,1.2574,1.2729,0
2016-12-05,1.2727,1.2746,1.2625,1.2733,0
2016-12-06,1.2729,1.2776,1.2655,1.2677,0
2016-12-07,1.2678,1.2685,1.2569,1.2622,0
2016-12-08,1.2626,1.2706,1.2547,1.2586,0
2016-12-09,1.2589,1.2623,1.255,1.2576,0
2016-12-12,1.2575,1.2704,1.2556,1.268,0
2016-12-13,1.2675,1.2729,1.2651,1.2658,0
2016-12-14,1.2659,1.2721,1.2529,1.2565,0
2016-12-15,1.256,1.2572,1.2376,1.2419,0
2016-12-16,1.2427,1.2519,1.2389,1.2497,0
2016-12-19,1.2493,1.2504,1.2355,1.24,0
2016-12-20,1.2401,1.2414,1.2313,1.2367,0
2016-12-21,1.2364,1.2393,1.2323,1.2354,0
2016-12-22,1.235,1.2379,1.2274,1.2283,0
2016-12-23,1.2283,1.2301,1.2228,1.2292,0
2016-12-26,1.2269,1.2314,1.2264,1.2288,0
2016-12-27,1.2284,1.229,1.2237,1.2271,0
2016-12-28,1.2269,1.2298,1.2199,1.2226,0
